country,region,subregion,pop2023,growthRate,area,landAreaKm,density,densityMi,Rank,happiness2021,happiness2020,scoreDifference,rank
Madagascar,Africa,"Eastern Africa, Sub-Saharan Africa",30325732.00,0.02411,587041,581800,52124.00,1350011.00,50,4.208,4.166,0.042,132
Togo,Africa,"Western Africa, Sub-Saharan Africa",9053799.00,0.02318,56785,54390,1664607.00,4311333.00,99,4.107,4.187,-0.08,133
Zambia,Africa,"Eastern Africa, Sub-Saharan Africa",20569737.00,0.02758,752612,743390,276702.00,716658.00,63,4.073,3.759,0.314,134
Sierra Leone,Africa,"Western Africa, Sub-Saharan Africa",8791092.00,0.02154,71740,72180,121794.00,3154465.00,102,3.849,3.926,-0.077,135
India,Asia,"Southern Asia, South Central Asia",1428627663.00,0.00808,3287590,2973190,4805033.00,12445036.00,1,3.819,3.573,0.246,136
Burundi,Africa,"Eastern Africa, Sub-Saharan Africa",13238559.00,0.02708,27834,25680,5155202.00,13351973.00,78,3.775,3.775,0,137
Yemen,Asia,"Western Asia, The Middle East",34449825.00,0.02235,527968,527970,652496.00,1689964.00,44,3.658,3.527,0.131,138
Tanzania,Africa,"Eastern Africa, Sub-Saharan Africa",67438106.00,0.02963,945087,885800,761324.00,197183.00,22,3.623,3.476,0.147,139
Haiti,North America,Caribbean,11724763.00,0.01206,27750,27560,4254268.00,11018554.00,81,3.615,3.721,-0.106,140
Malawi,Africa,"Eastern Africa, Sub-Saharan Africa",20931751.00,0.0258,118484,94280,2220169.00,5750237.00,62,3.6,3.538,0.062,141
Lesotho,Africa,"Southern Africa, Sub-Saharan Africa",2330318.00,0.01062,30355,30360,767562.00,1987985.00,147,3.512,3.653,-0.141,142
Botswana,Africa,"Southern Africa, Sub-Saharan Africa",2675352.00,0.01713,582000,566730,47207.00,122266.00,144,3.467,3.479,-0.012,143
Rwanda,Africa,"Eastern Africa, Sub-Saharan Africa",14094683.00,0.02308,26338,24670,5713289.00,14797417.00,76,3.415,3.312,0.103,144
Zimbabwe,Africa,"Eastern Africa, Sub-Saharan Africa",16665409.00,0.02113,390757,386850,430798.00,1115766.00,74,3.145,3.299,-0.154,145
Afghanistan,Asia,"South Central Asia, Southern Asia",42239854.00,0.02702,652230,652230,647622.00,1677341.00,36,2.523,2.567,-0.044,146
